﻿Host Information
1,10.0.1.1,10.0.1.1
2,,-
3,096-034-083-005.biz.spectrum.com,96.34.83.5
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142
6,bbr01sgnwmi-bue-3.sgnw.mi.charter.com,96.34.0.53
7,bbr01aldlmi-bue-5.aldl.mi.charter.com,96.34.0.54
8,bbr01chcgil-bue-805.chcg.il.charter.com,96.34.0.139
9,bbr02chcgil-bue-800.chcg.il.charter.com,96.34.0.67
10,bbr01olvemo-bue-2.olve.mo.charter.com,96.34.0.13
11,bbr01dnvrco-bue-1.dnvr.co.charter.com,96.34.0.144
12,bbr02snjsca-bue-2.snjs.ca.charter.com,96.34.0.2
13,bbr01rvsdca-bue-8.rvsd.ca.charter.com,96.34.0.177
14,bbr02chcgil-tge-0-2-0-1.chcg.il.charter.com,96.34.3.129
15,la-pom247-ge-5-0-0.kornet.net,206.223.123.44
16,112.174.88.249,112.174.88.249
17,112.174.84.197,112.174.84.197
18,,-
19,112.174.63.50,112.174.63.50
20,112.188.240.142,112.188.240.142
21,112.175.142.26,112.175.142.26
22,www.ozarena.com,183.111.138.159
Sample Information
2020-07-08 13:31:41Z,0.47,*,8.73,9.79,15.86,33.73,31.92,41.35,45.37,49.52,65.02,93.44,95.88,96.69,96.78,690.18,232.26,*,238.09,231.04,234.51,*
2020-07-08 13:31:44Z,0.40,*,9.92,9.82,10.45,36.26,33.53,43.49,39.49,44.13,67.23,88.31,99.35,96.92,96.43,691.47,233.80,*,234.42,231.25,235.11,*
2020-07-08 13:31:46Z,1.15,*,9.06,8.71,16.19,32.91,32.32,41.75,39.16,43.39,66.54,89.40,98.74,106.11,99.04,*,233.58,*,239.88,231.80,238.64,*
2020-07-08 13:31:49Z,1.51,*,14.06,13.42,11.90,31.66,37.45,37.51,48.74,47.40,63.81,92.82,113.00,99.94,108.23,691.73,233.05,*,239.20,234.21,233.76,*
2020-07-08 13:31:51Z,1.16,*,10.20,9.76,15.66,32.67,38.67,40.86,37.68,41.82,64.11,85.92,96.67,97.52,97.06,*,262.04,*,235.16,232.02,235.76,*
2020-07-08 13:31:54Z,0.90,*,8.91,9.70,14.44,33.38,38.45,40.55,45.31,42.24,66.62,87.09,98.46,97.88,98.01,694.30,233.78,*,237.43,230.98,234.29,*
2020-07-08 13:31:56Z,0.72,*,8.48,8.41,13.47,32.66,38.71,40.04,43.14,49.23,63.53,92.26,95.04,98.16,96.45,699.79,232.76,*,237.67,229.34,235.41,*
2020-07-08 13:31:59Z,1.50,*,9.16,9.96,17.70,35.72,34.34,44.32,40.17,43.64,60.21,87.67,100.25,98.70,106.15,680.53,232.83,*,237.14,232.00,235.26,*
2020-07-08 13:32:01Z,1.36,*,8.09,9.57,15.91,35.20,40.57,41.34,39.94,42.72,67.15,88.00,98.91,94.03,97.03,692.38,270.38,*,235.76,233.01,*,*
2020-07-08 13:32:04Z,0.51,*,9.59,10.36,12.52,31.88,36.83,38.42,44.48,47.31,63.85,91.85,95.04,97.07,98.78,686.69,234.54,*,238.19,232.26,234.88,*
2020-07-08 13:32:06Z,1.57,*,9.81,9.92,16.91,35.66,32.56,42.56,40.65,43.51,60.07,87.56,98.72,97.78,96.38,*,231.86,*,234.78,230.58,235.37,*
2020-07-08 13:32:09Z,1.15,*,10.89,10.35,18.24,28.86,34.48,44.19,40.80,44.55,60.06,89.80,99.73,98.88,97.57,684.73,232.75,*,237.76,232.27,235.53,*
2020-07-08 13:32:11Z,1.20,*,10.08,10.90,12.95,32.98,37.47,38.75,42.62,46.02,62.59,92.01,95.15,95.71,97.19,693.50,232.23,*,236.93,230.65,234.10,*
2020-07-08 13:32:14Z,0.59,*,9.35,11.17,10.62,36.74,33.94,43.56,40.42,43.72,59.88,88.55,98.55,98.05,97.54,689.88,233.92,*,235.94,231.54,234.94,*
2020-07-08 13:32:16Z,1.09,*,9.08,12.54,13.41,33.14,38.31,39.99,36.88,48.21,63.55,91.92,95.34,97.08,97.91,695.55,274.25,*,235.70,230.94,234.72,*
2020-07-08 13:32:19Z,0.23,*,9.89,9.29,15.68,34.87,33.03,42.16,40.36,43.38,67.93,88.02,98.93,98.11,97.27,*,246.14,*,235.81,230.11,236.15,*
2020-07-08 13:32:21Z,1.43,*,9.41,12.28,16.77,36.38,32.98,43.01,38.89,43.53,59.45,88.06,99.31,98.15,96.83,681.33,233.70,*,236.04,230.27,234.99,*
2020-07-08 13:32:24Z,1.52,*,8.78,10.58,13.96,33.31,38.06,41.00,45.24,47.62,64.19,84.73,95.64,97.66,104.98,*,232.80,*,235.53,230.34,235.29,*
2020-07-08 13:32:26Z,1.03,*,10.41,9.79,17.72,29.01,33.32,44.66,41.62,45.01,61.58,89.00,101.20,98.03,97.59,708.13,233.34,*,237.63,230.54,236.29,*
2020-07-08 13:32:29Z,0.97,*,9.68,9.22,10.04,30.52,34.94,36.42,49.00,44.61,60.74,90.43,100.74,96.26,96.35,682.59,231.62,*,235.94,230.12,234.53,*
2020-07-08 13:32:31Z,0.76,*,7.84,9.99,14.74,34.32,39.23,40.37,37.25,48.02,65.14,96.17,96.96,97.78,97.66,694.04,232.92,*,236.55,230.80,239.48,*
2020-07-08 13:32:34Z,1.39,*,9.39,9.19,16.59,35.87,40.33,43.73,40.56,44.02,60.63,88.91,100.27,97.73,97.57,682.71,232.60,*,235.53,229.82,242.83,*
2020-07-08 13:32:36Z,1.10,*,8.50,12.52,16.98,28.00,41.19,42.64,46.47,49.91,65.75,87.10,97.73,98.27,96.49,690.52,233.07,*,236.31,230.16,236.25,*
2020-07-08 13:32:39Z,0.76,*,9.08,12.03,14.27,33.31,36.73,41.44,38.36,41.80,66.24,86.66,97.99,97.51,97.01,692.33,232.42,*,235.27,231.12,235.63,*
2020-07-08 13:32:41Z,0.93,*,9.03,10.38,14.43,34.94,39.50,41.56,37.85,49.22,65.75,86.92,98.24,96.37,102.42,*,231.76,*,234.29,230.48,236.24,*
2020-07-08 13:32:44Z,0.71,*,10.08,9.53,14.33,33.93,37.73,39.89,44.69,49.36,64.67,94.82,96.37,97.19,104.07,683.89,242.48,*,236.63,230.82,235.10,*
2020-07-08 13:32:46Z,1.37,*,8.86,11.96,16.03,36.54,33.41,43.36,40.35,43.60,60.47,88.83,99.44,100.60,98.35,693.03,232.03,*,236.10,231.59,235.03,*
2020-07-08 13:32:49Z,1.09,*,9.95,8.89,16.58,34.09,38.58,42.02,38.10,49.38,64.79,86.31,105.35,103.30,101.52,*,232.85,*,236.55,230.76,235.50,*
