﻿Host Information
1,10.0.1.1,10.0.1.1
2,,-
3,096-034-083-005.biz.spectrum.com,96.34.83.5
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142
6,bbr01nwtwct-bue-4.nwtw.ct.charter.com,96.34.0.51
7,bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com,96.34.0.137
8,bbr02ashbva-bue-4.ashb.va.charter.com,96.34.3.163
9,ash-1-a9.va.us,142.44.208.118
10,be100-1039.nwk-1-a9.nj.us,198.27.73.202
11,be100-1295.ldn-1-a9.uk.eu,192.99.146.126
12,be103.gra-g1-nc5.fr.eu,91.121.215.178
13,,-
14,,-
15,,-
16,www.goodthai.fr,164.132.235.17
Sample Information
2020-07-08 13:32:28Z,0.58,*,10.36,10.34,16.99,20.24,25.86,21.17,40.39,42.53,110.20,114.93,*,*,*,111.15
2020-07-08 13:32:30Z,0.53,*,8.34,11.79,15.51,18.92,23.56,21.93,39.86,44.71,109.85,111.96,*,*,*,113.39
2020-07-08 13:32:33Z,0.60,*,8.20,9.54,16.48,21.10,25.82,24.01,40.63,46.64,111.78,112.86,*,*,*,118.52
2020-07-08 13:32:35Z,0.80,*,9.38,12.86,13.73,17.14,22.10,25.42,41.77,42.98,110.87,113.05,*,*,*,113.49
2020-07-08 13:32:38Z,0.92,*,12.96,9.63,11.65,13.30,26.50,23.21,40.24,44.64,114.86,113.11,*,*,*,112.38
2020-07-08 13:32:38Z,0.92,*,12.96,9.63,11.65,13.30,26.50,23.21,40.24,44.64,114.86,113.11,*,*,*,112.38
2020-07-08 13:32:40Z,0.28,*,11.49,9.16,10.36,13.53,18.61,20.70,38.25,43.52,110.40,112.45,*,*,*,111.99
2020-07-08 13:32:43Z,0.46,*,8.51,10.09,15.93,19.38,24.92,20.78,38.64,42.99,109.86,112.69,*,*,*,112.31
2020-07-08 13:32:45Z,0.47,*,8.59,14.05,16.50,19.22,23.39,21.04,39.44,42.80,109.50,114.24,*,*,*,115.76
2020-07-08 13:32:48Z,0.36,*,8.54,10.63,12.71,16.03,21.71,19.79,38.97,42.44,110.09,119.13,*,*,*,111.91
