﻿Host Information
1,10.0.1.1,10.0.1.1
2,,-
3,096-034-083-005.biz.spectrum.com,96.34.83.5
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142
6,bbr01nwtwct-bue-4.nwtw.ct.charter.com,96.34.0.51
7,bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com,96.34.0.137
8,prr01ashbva-bue-6.ashb.va.charter.com,96.34.3.89
9,63-218-92-125.static.pccwglobal.net,63.218.92.125
10,TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net,63.223.17.126
11,TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net,63.223.17.126
12,63.217.24.50,63.217.24.50
13,DESKTOP-HK5KRG7,27.68.250.153
14,DESKTOP-HK5KRG7,27.68.236.1
15,DESKTOP-HK5KRG7,27.68.236.106
16,203.113.186.208,203.113.186.208
17,115.84.180.1,115.84.180.1
18,115.84.180.42,115.84.180.42
19,,-
20,210.211.114.166,210.211.114.166
21,buudienhospital.vn,171.244.17.13
Sample Information
2020-07-08 13:31:51Z,0.29,*,10.56,10.58,15.18,21.50,24.20,21.70,20.37,242.82,241.10,261.52,301.78,305.27,303.02,301.21,302.54,303.72,*,297.50,301.88
2020-07-08 13:31:54Z,0.85,*,9.33,11.28,12.12,18.19,23.76,19.76,21.34,243.26,242.96,262.27,298.94,306.58,302.13,300.27,303.80,303.27,*,298.12,302.74
2020-07-08 13:31:56Z,1.23,*,9.59,9.10,15.49,20.29,26.53,19.34,20.29,242.29,242.14,262.52,301.41,306.22,302.98,302.52,304.66,301.49,*,298.43,300.28
2020-07-08 13:31:59Z,1.27,*,10.40,9.89,11.15,15.73,22.12,19.01,21.44,242.01,242.75,262.72,300.31,307.74,303.27,301.43,304.27,304.32,*,297.10,300.66
2020-07-08 13:32:01Z,1.08,*,14.50,10.26,15.01,28.02,26.59,23.46,20.39,246.87,241.97,262.52,302.66,305.29,303.83,300.72,302.92,302.37,*,298.77,300.22
2020-07-08 13:32:04Z,0.62,*,9.49,8.89,17.05,21.28,20.73,21.44,20.17,242.77,241.16,262.72,300.29,299.79,303.07,299.96,303.91,304.63,*,299.57,300.47
2020-07-08 13:32:06Z,1.48,*,8.92,9.71,10.52,16.58,22.96,19.83,19.37,238.75,243.33,261.16,298.77,302.21,302.91,301.51,303.28,302.45,*,297.48,300.83
2020-07-08 13:32:09Z,0.26,*,8.90,9.69,13.65,18.40,25.37,21.24,19.22,241.78,242.60,261.81,300.97,303.44,302.95,301.09,313.74,306.67,*,297.81,302.09
2020-07-08 13:32:11Z,0.65,*,9.60,9.10,10.00,15.99,22.89,20.24,19.72,242.73,241.56,260.70,300.81,306.01,302.84,300.90,303.73,301.93,*,297.01,301.31
2020-07-08 13:32:14Z,0.58,*,8.00,9.88,13.26,18.11,25.60,23.81,19.46,241.98,241.35,261.20,300.41,306.50,302.90,301.12,304.57,302.79,*,297.09,300.71
