﻿Host Information,,,,,,,,,,,,,,,,,,
1,10.0.1.1,10.0.1.1,,,,,,,,,,,,,,,,
2,,-,,,,,,,,,,,,,,,,
3,crr02wrcsma-tge-0-1-0-0.wrcs.ma.charter.com,96.34.87.105,,,,,,,,,,,,,,,,
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212,,,,,,,,,,,,,,,,
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142,,,,,,,,,,,,,,,,
6,bbr01sgnwmi-bue-3.sgnw.mi.charter.com,96.34.0.53,,,,,,,,,,,,,,,,
7,bbr01aldlmi-bue-5.aldl.mi.charter.com,96.34.0.54,,,,,,,,,,,,,,,,
8,bbr01chcgil-bue-805.chcg.il.charter.com,96.34.0.139,,,,,,,,,,,,,,,,
9,chi-b21-link.telia.net,62.115.14.41,,,,,,,,,,,,,,,,
10,ae-25.r08.chcgil09.us.bb.gin.ntt.net,129.250.8.61,,,,,,,,,,,,,,,,
11,ae-0.r20.chcgil09.us.bb.gin.ntt.net,129.250.2.191,,,,,,,,,,,,,,,,
12,ae-7.r23.sttlwa01.us.bb.gin.ntt.net,129.250.3.42,,,,,,,,,,,,,,,,
13,ae-16.r24.osakjp02.jp.bb.gin.ntt.net,129.250.3.61,,,,,,,,,,,,,,,,
14,ae-1.r02.osakjp02.jp.bb.gin.ntt.net,129.250.2.40,,,,,,,,,,,,,,,,
15,ae-1.a01.osakjp02.jp.bb.gin.ntt.net,129.250.3.232,,,,,,,,,,,,,,,,
16,ae-0.sinet5.osakjp02.jp.bb.gin.ntt.net,61.200.91.154,,,,,,,,,,,,,,,,
17,niigata-RM-ET-5-1-0-1152.s5.sinet.ad.jp,150.99.90.34,,,,,,,,,,,,,,,,
18,www.iuj.ac.jp,202.223.160.72,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,,,,,,,,,,,
2020-06-24 21:28:31Z,0.82,*,9.25,18.29,27.4,31.92,34.55,41.02,40.55,43.13,44.38,88.08,193.71,185.72,182.9,187.99,190.21,*
2020-06-24 21:28:34Z,0.84,*,10.55,11.72,14.2,35.19,37.66,44.08,40.04,42.22,72.31,82.71,190.4,179.64,184.74,192.6,191.06,*
2020-06-24 21:28:36Z,0.59,*,22.53,10.58,17.01,36.61,39.16,45.58,40.18,42.71,40.72,85.33,191.87,179.89,187.62,190.12,195.29,*
2020-06-24 21:28:39Z,0.84,*,15.67,10.39,19.44,32.41,42.84,41.35,43.91,42.42,43.59,82.89,189.03,179.71,187.43,187.38,189.93,*
2020-06-24 21:28:41Z,1.11,*,11.75,11.66,14.13,33.5,37.3,43.32,39.02,41.49,42.68,85.87,189.45,179.22,183,186.84,191.63,*
2020-06-24 21:28:44Z,1.62,*,11.27,12.43,17.96,37.67,42.07,46.74,42.75,45.76,54.02,88.52,190.38,181.73,184.98,189.41,191.95,*
2020-06-24 21:28:46Z,0.5,*,10.91,10.77,19.82,34.23,36.7,42.7,41.36,45.2,39.86,89.68,192.67,180.79,189.86,186.08,191.08,*
2020-06-24 21:28:49Z,0.29,*,10.06,14.11,15.43,36.31,51.63,98.14,101.94,100.63,62.06,95.67,197.98,190.22,192.52,203.59,191.33,*
2020-06-24 21:28:51Z,1.22,*,10.12,11.37,19.12,31.04,35.54,40.89,44.18,44.16,42.81,86.06,192.15,180.28,182.86,189.43,192.14,*
2020-06-24 21:28:54Z,1.51,*,11.13,15.38,13.98,34.28,45.72,52.32,41.69,41.61,45.44,85.47,191.68,182.38,196.69,186.08,197.76,*
2020-06-24 21:28:56Z,0.37,*,10.47,11.67,16.82,37.87,41.71,59.64,49.01,43.41,51.3,96.08,190.69,186.36,189.02,187.66,190.25,*
2020-06-24 21:28:59Z,0.81,*,13.06,10.05,19.2,32.23,44.02,41.38,42.63,44.41,48.31,85.04,194.75,180.16,185.55,191.67,190,*
2020-06-24 21:29:01Z,0.72,*,18.42,13.05,22.15,34.89,38.73,50.88,42.01,40.77,51.05,83.75,190.39,182.36,185.28,190.03,190.46,*
2020-06-24 21:29:04Z,0.72,*,15.94,10.45,16.56,37.41,49.17,38.58,48.55,53.02,39.78,84.42,189.83,180.48,185.44,188.09,194.56,*
2020-06-24 21:29:06Z,0.31,*,14.27,12.82,18.45,47.27,34.22,48.26,48.09,52.82,42.42,83.76,192.97,192.86,187.17,214.71,195.61,*
2020-06-24 21:29:09Z,0.56,*,17.46,15.9,15.35,35.28,39.07,43.35,42.14,40.9,49.27,83.52,204.56,181.28,188.43,190.65,200.69,*
2020-06-24 21:29:11Z,1.56,*,17.02,11.08,15.49,37.87,39.55,38.16,43.73,42.82,53.6,90.14,191.63,180.8,188.63,187.15,195.43,*
2020-06-24 21:29:14Z,1.37,*,10.84,14.77,12.02,41.27,37.08,40.81,42.89,43.55,40.32,84.36,188.89,185.01,186.2,186.88,192.64,*
2020-06-24 21:29:16Z,1.6,*,31.14,37.02,51.23,65.51,58.85,44.54,42.49,41.03,40.91,85.41,189.2,179.14,183.65,187.51,191.39,*
2020-06-24 21:29:19Z,0.69,*,11.39,12.07,10.2,30.64,41.37,38.82,41.34,42.49,39.74,85.39,189.03,179.73,184.05,185.59,198.75,*
2020-06-24 21:29:21Z,1.14,*,9.85,16.28,14.63,36.67,38.94,44.32,40.92,42.07,39.04,86.23,189.77,180.57,185,185.87,189.7,*
2020-06-24 21:29:24Z,1.4,*,10.58,16.88,16.05,37.56,41.35,37.68,39.94,42.44,50,87.52,190.5,182.06,184.19,186.7,189.65,*
2020-06-24 21:29:26Z,0.86,*,10.42,11.65,17.42,38.37,41.23,46.36,39.68,43.07,40.22,84.26,191.17,179.13,182.96,185.47,189.29,*
2020-06-24 21:29:29Z,0.79,*,11.93,11.31,13.86,34.63,38.5,44.98,39.94,42.42,42.44,84.17,201.86,179.89,195.28,197.15,190.55,*
2020-06-24 21:29:31Z,0.83,*,10.46,14.61,15.01,37.25,40.76,45.8,44.23,41.68,41.37,88.7,194.87,182.64,184.06,186.11,190.02,*
2020-06-24 21:29:34Z,1.59,*,11.21,11.87,17.7,31,35.57,46.73,40.5,41.62,41.45,84.63,193.79,179.58,183.33,187.16,189.68,*
2020-06-24 21:29:36Z,0.89,*,11.64,12.5,13.12,35.33,39.39,42.97,39.34,41.79,42.42,84.48,193.68,179.08,184.76,189.43,189.77,*
2020-06-24 21:29:39Z,0.6,*,12.11,10.62,23.3,35.26,39.56,43.36,39.85,41.08,42.15,84.72,189.48,179.25,190.26,186.21,191.33,*
2020-06-24 21:29:41Z,0.72,*,13.01,10.86,19.9,40.59,37.94,40.97,40.01,42.1,42,84.7,189.08,180.58,210.1,191.6,188.88,*
2020-06-24 21:29:44Z,1.04,*,10.55,13.54,12.45,34.51,38.27,42.84,41.05,41.66,45.25,91.06,190.45,181.72,186.51,187.65,192.87,*
2020-06-24 21:29:46Z,0.56,*,14.53,11.78,18.21,32.52,36.33,41.63,42.72,41.23,39.64,82.96,191.53,181.36,186.19,187.78,194.44,*
2020-06-24 21:29:49Z,0.82,*,10.54,12.25,14.86,36.46,40.27,44.1,40.03,42.53,46.38,85.59,198.36,179.81,184.77,197.3,193.3,*
2020-06-24 21:29:51Z,0.59,*,11.85,14.04,15.55,36.63,39.51,43.28,42.48,59.78,43.17,86.96,191.54,178.87,192.28,185.62,189.77,*
2020-06-24 21:29:54Z,1.51,*,13.17,13.98,18.22,30.61,42.84,46.59,39.8,42.74,41.3,90.59,189.92,185.83,186.29,191.16,190.03,*
