Target Name: zoocity.kz
         IP: 2a00:5da0:1000::112
  Date/Time: 7/17/2020 1:37:56 PM - 7/17/2020 1:47:56 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   304    0    0.34   12.40    1.10  2600:6c64:657f:ddd7:6e70:9fff:fed6:f8 [2600:6c64:657f:ddd7:6e70:9fff:fed6:f8]
  2   303  100       0       0       0   [-]
  3   304    0    7.38   23.10   10.52  2001-0506-0100-1707-0000-0000-0000-0005.inf6.spectrum.com [2001:506:100:1707::5]
  4   304    0    4.67   76.82   11.20  2001-0506-0100-10ab-0000-0000-0000-0005.inf6.spectrum.com [2001:506:100:10ab::5]
  5   304   14    8.15   31.03   15.05  2001-0506-0100-1011-0000-0000-0000-000e.inf6.spectrum.com [2001:506:100:1011::e]
  6   304   30   10.97   36.18   18.20  bbr02oxfrma-tge0-0-0-2.oxfr.ma.charter.com [2001:506:100:1a::2]
  7   303   79   19.21   31.72   24.29  2001-0506-0100-000b-0000-0000-0000-0006.inf6.spectrum.com [2001:506:100:b::6]
  8   304   75   18.46  130.07   30.62  bbr01rvsdca-tge0-0-0-1.rvsd.ca.charter.com [2001:506:100:32c::2]
  9   304    0   17.96   40.05   20.91  equinix-dc.retn.net [2001:504:0:2::9002:1]
 10   304    0  186.73  300.66  202.82  RT.INT.STV.RU.retn.net [2a02:2d8::57f5:e00f]
 11   304   18  198.75  217.61  209.27  GW-TransTelecomKZ.retn.net [2a02:2d8:1:3804:232a::1]
 12   304    0  219.81  272.01  229.16  2a00:ab40:1:1::23 [2a00:ab40:1:1::23]
 13   304    1  222.56  250.86  231.47  2a00:ab40:3000:5::2 [2a00:ab40:3000:5::2]
 14   304    0  224.03  253.66  232.86  2a00:5da0:0:1100::2 [2a00:5da0:0:1100::2]
 15   304    0  223.18  250.19  232.94  2a00:5da0:1:10::19 [2a00:5da0:1:10::19]
 16   304    0  222.22  318.01  232.68  zoocity.kz [2a00:5da0:1000::112]
