Target Name: buudienhospital.vn
         IP: 171.244.17.13
  Date/Time: 7/10/2020 3:14:41 PM - 7/10/2020 3:24:41 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.19    1.62    0.94  10.0.1.1 [10.0.1.1]
  2   100  100       0       0       0   [-]
  3   100    0    7.60   15.67    9.62  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0    6.44   15.63   10.17  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0    8.55   25.83   13.77  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0   12.72   26.40   17.55  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   100    0   19.32   32.36   23.85  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   100    0   17.09   88.42   26.03  prr01ashbva-bue-6.ashb.va.charter.com [96.34.3.89]
  9   100    0   17.25   26.02   19.99  63-218-92-125.static.pccwglobal.net [63.218.92.125]
 10   100    0  240.90  253.56  246.53  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 11   100    0  241.59  271.56  246.67  TenGE0-0-0-2.clbr01.hkg04.pccwbtn.net [63.223.17.126]
 12   100    0  259.85  270.81  262.16  63.217.24.50 [63.217.24.50]
 13   100    0  288.21  300.94  292.85  DESKTOP-HK5KRG7 [27.68.250.153]
 14   100    0  289.94  299.92  294.74  DESKTOP-HK5KRG7 [27.68.236.1]
 15   100    0  291.86  298.03  293.36  DESKTOP-HK5KRG7 [27.68.236.106]
 16   100    0  289.27  307.41  291.93  203.113.186.208 [203.113.186.208]
 17   100    0  292.28  301.49  294.29  115.84.180.1 [115.84.180.1]
 18   100    0  291.84  300.41  293.77  115.84.180.42 [115.84.180.42]
 19   100  100       0       0       0   [-]
 20   100    0  286.83  297.25  288.67  210.211.114.166 [210.211.114.166]
 21   100    3  287.86  295.63  291.86  buudienhospital.vn [171.244.17.13]
