﻿Host Information,,,,,,,,,,,,,,,,,,,
1,10.0.1.1,10.0.1.1,,,,,,,,,,,,,,,,,
2,,-,,,,,,,,,,,,,,,,,
3,crr02wrcsma-tge-0-1-0-0.wrcs.ma.charter.com,96.34.87.105,,,,,,,,,,,,,,,,,
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212,,,,,,,,,,,,,,,,,
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142,,,,,,,,,,,,,,,,,
6,bbr01nwtwct-bue-4.nwtw.ct.charter.com,96.34.0.51,,,,,,,,,,,,,,,,,
7,bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com,96.34.0.137,,,,,,,,,,,,,,,,,
8,prr01ashbva-bue-6.ashb.va.charter.com,96.34.3.89,,,,,,,,,,,,,,,,,
9,ae-10.edge5.WashingtonDC12.Level3.net,4.68.62.61,,,,,,,,,,,,,,,,,
10,ae-1-3113.ear2.London1.Level3.net,4.69.132.138,,,,,,,,,,,,,,,,,
11,ae0-3356.lon10.core-backbone.com,212.113.8.42,,,,,,,,,,,,,,,,,
12,ae10-2021.fra20.core-backbone.com,80.255.14.6,,,,,,,,,,,,,,,,,
13,core-backbone.hetzner.com,80.255.15.122,,,,,,,,,,,,,,,,,
14,core11.nbg1.hetzner.com,213.239.224.237,,,,,,,,,,,,,,,,,
15,static.85-10-228-86.clients.your-server.de,85.10.228.86,,,,,,,,,,,,,,,,,
16,,-,,,,,,,,,,,,,,,,,
17,11817.your-cloud.host,116.203.160.4,,,,,,,,,,,,,,,,,
18,,-,,,,,,,,,,,,,,,,,
19,www.tablemountain.net,195.201.98.191,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,,,,,,,,,,,,
2020-06-26 14:55:33Z,0.34,*,11.31,11.05,14.73,14.58,26.32,19.53,21.91,*,111.99,107.73,112.8,110.77,113.09,*,111.24,*,110.53
2020-06-26 14:55:35Z,1.36,*,9.54,10.6,16.92,16.64,22.97,20.1,21.13,*,108.55,108.26,110.62,112.97,112.75,*,118.81,*,110.09
2020-06-26 14:55:38Z,0.86,*,9.13,11.56,12.7,14.94,26.5,21.01,23.45,*,106.87,107.86,112.9,114.07,125.67,*,112,*,109.68
2020-06-26 14:55:40Z,0.64,*,10.11,11.19,13.52,17.2,27.48,21.96,21.72,*,106.6,107.62,109.97,112.44,113.47,*,115.52,*,109.26
2020-06-26 14:55:43Z,0.21,*,10.75,11.83,15.48,24.22,26.53,22.36,29.77,*,109.65,109.25,110.33,113.18,114.25,*,113.73,*,115.99
2020-06-26 14:55:45Z,1.43,*,11.91,11.67,25.84,17.71,22.68,22.44,22.22,*,109.58,109.32,110.34,111.41,115.08,*,114.56,*,116.3
2020-06-26 14:55:48Z,0.7,*,11.68,12.8,13.82,17.47,27.76,22.22,23.25,*,108.15,107.1,109.99,114.42,127.16,*,117.32,*,110.9
2020-06-26 14:55:50Z,0.28,*,19.17,16.44,18.13,16.5,29.11,23.61,26.36,*,112.24,110.9,111.55,121.82,113.82,*,111.96,*,126.24
2020-06-26 14:55:53Z,1.35,*,9.39,10.48,19.39,17.77,25.42,21.22,22.32,*,109.69,108.09,110.47,111.81,112.93,*,112.3,*,111.2
2020-06-26 14:55:55Z,1.02,*,12.42,9.6,14.79,15.45,28.19,23.98,21.36,*,111.13,108.23,110.6,111.64,112.77,*,112.26,*,112.72
