Target Name: www.ozarena.com
         IP: 183.111.138.159
  Date/Time: 7/14/2020 1:01:08 PM - 7/14/2020 1:11:08 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.31    1.59    0.94  10.0.1.1 [10.0.1.1]
  2   100  100       0       0       0   [-]
  3   100    0    7.45   17.45    9.49  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0    8.01   14.95    9.92  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0    8.87   18.44   13.89  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0   27.90   38.81   32.84  bbr01sgnwmi-bue-3.sgnw.mi.charter.com [96.34.0.53]
  7   100    0   31.82   48.49   36.44  bbr01aldlmi-bue-5.aldl.mi.charter.com [96.34.0.54]
  8   100    0   35.69   47.69   40.13  bbr01chcgil-bue-805.chcg.il.charter.com [96.34.0.139]
  9   100    0   35.92   45.50   40.73  bbr02chcgil-bue-800.chcg.il.charter.com [96.34.0.67]
 10   100    0   41.71   52.84   46.34  bbr01olvemo-bue-2.olve.mo.charter.com [96.34.0.13]
 11   100    0   58.29   69.19   63.47  bbr01dnvrco-bue-1.dnvr.co.charter.com [96.34.0.144]
 12   100    0   83.41  109.59   89.36  bbr02snjsca-bue-2.snjs.ca.charter.com [96.34.0.2]
 13   100    0   98.03  115.25  102.94  bbr01rvsdca-bue-8.rvsd.ca.charter.com [96.34.0.177]
 14   100    0  100.46  107.99  102.19  bbr02chcgil-tge-0-2-0-1.chcg.il.charter.com [96.34.3.129]
 15   100    0   99.51  124.85  102.41  la-pom247-ge-5-0-0.kornet.net [206.223.123.44]
 16   100    0  228.26  246.40  230.60  112.174.89.249 [112.174.89.249]
 17   100    0  230.72  251.73  233.21  112.174.80.5 [112.174.80.5]
 18   100  100       0       0       0   [-]
 19   100    0  236.21  246.45  239.20  112.174.23.18 [112.174.23.18]
 20   100    0  232.34  240.23  233.46  112.188.240.142 [112.188.240.142]
 21    74    0  239.86  254.48  241.82  112.175.142.26 [112.175.142.26]
 22    99  100       0       0       0  www.ozarena.com [183.111.138.159]
