Target Name: www.whiterabbitcollection.org
         IP: 35.201.25.177
  Date/Time: 7/10/2020 2:55:54 PM - 7/10/2020 3:05:54 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.26    1.62    0.94  10.0.1.1 [10.0.1.1]
  2   100  100       0       0       0   [-]
  3   100    0    5.76   16.65    9.70  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0    7.35   17.45   10.24  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0    8.50   24.43   14.12  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0   10.83   27.70   15.00  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   100    0   18.52   36.50   23.78  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   100    0   17.05   29.33   20.43  prr01ashbva-bue-6.ashb.va.charter.com [96.34.3.89]
  9   100    0   18.04   26.31   19.70  096-034-148-035.biz.spectrum.com [96.34.148.35]
 10   100  100       0       0       0   [-]
 11   100    0  221.50  237.18  225.53  www.whiterabbitcollection.org [35.201.25.177]
