Target Name: www.goodthai.fr
         IP: 164.132.235.17
  Date/Time: 7/10/2020 3:22:03 PM - 7/10/2020 3:32:03 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.21    1.57    0.93  10.0.1.1 [10.0.1.1]
  2   100  100       0       0       0   [-]
  3   100    0    6.07   15.84    9.45  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   100    0    8.37   16.53   10.05  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   100    0    9.63   21.02   14.09  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   100    0   12.62   24.82   17.55  bbr01nwtwct-bue-4.nwtw.ct.charter.com [96.34.0.51]
  7   100    0   19.51   31.37   23.98  bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com [96.34.0.137]
  8   100    0   18.89   93.92   22.42  bbr02ashbva-bue-4.ashb.va.charter.com [96.34.3.163]
  9   100    0   38.00   47.41   39.56  ash-1-a9.va.us [142.44.208.118]
 10   100    0   39.01   48.87   43.65  be100-1039.nwk-1-a9.nj.us [198.27.73.202]
 11   100    0  111.81  121.20  113.51  be100-1295.ldn-1-a9.uk.eu [192.99.146.126]
 12   100    0  113.20  181.45  118.18  be103.gra-g1-nc5.fr.eu [91.121.215.178]
 13   100  100       0       0       0   [-]
 14   100  100       0       0       0   [-]
 15   100  100       0       0       0   [-]
 16   100    0  110.14  118.13  112.03  www.goodthai.fr [164.132.235.17]
