Target Name: zoocity.kz
         IP: 2a00:5da0:1000::112
  Date/Time: 7/10/2020 3:07:18 PM - 7/10/2020 3:17:18 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   100    0    0.28    1.61    0.90  2600:6c64:657f:ddd7:6e70:9fff:fed6:f8 [2600:6c64:657f:ddd7:6e70:9fff:fed6:f8]
  2   100  100       0       0       0   [-]
  3   100    0    6.59   13.49    9.44  2001-0506-0100-171a-0000-0000-0000-0001.inf6.spectrum.com [2001:506:100:171a::1]
  4   100    0    8.14   17.65   10.31  2001-0506-0100-10ab-0000-0000-0000-0005.inf6.spectrum.com [2001:506:100:10ab::5]
  5   100   16    8.82   22.19   13.84  2001-0506-0100-1011-0000-0000-0000-000e.inf6.spectrum.com [2001:506:100:1011::e]
  6   100    6   12.48   24.31   17.17  bbr02oxfrma-tge0-0-0-2.oxfr.ma.charter.com [2001:506:100:1a::2]
  7   100    0   18.77   31.91   24.07  2001-0506-0100-000b-0000-0000-0000-0006.inf6.spectrum.com [2001:506:100:b::6]
  8   100   20   18.94  105.72   23.79  bbr01rvsdca-tge0-0-0-1.rvsd.ca.charter.com [2001:506:100:32c::2]
  9   100    0   16.45   76.94   20.85  equinix-dc.retn.net [2001:504:0:2::9002:1]
 10   100    0  154.11  222.63  160.81  RT.INT.STV.RU.retn.net [2a02:2d8::57f5:e00f]
 11   100   18  158.76  187.07  163.21  GW-TransTelecomKZ.retn.net [2a02:2d8:1:3804:232a::1]
 12   100    0  186.08  196.80  188.21  2a00:ab40:1:1::26 [2a00:ab40:1:1::26]
 13   100    0  187.87  204.48  193.02  2a00:ab40:3000:5::2 [2a00:ab40:3000:5::2]
 14   100    0  185.05  196.93  187.36  2a00:5da0:0:1100::2 [2a00:5da0:0:1100::2]
 15   100    0  187.79  208.00  189.85  2a00:5da0:1:10::19 [2a00:5da0:1:10::19]
 16   100    0  185.24  193.34  187.32  zoocity.kz [2a00:5da0:1000::112]
