Target Name: www.ozarena.com
         IP: 183.111.138.159
  Date/Time: 7/10/2020 3:11:01 PM - 7/10/2020 3:21:01 PM

Hop  Sent  PL%     Min     Max     Avg  Host Name / [IP]
  1   101    0    0.29    1.60    0.92  10.0.1.1 [10.0.1.1]
  2   101  100       0       0       0   [-]
  3   101    0    7.63   13.95    9.34  096-034-083-005.biz.spectrum.com [96.34.83.5]
  4   101    0    8.20   14.77   10.09  be34.crr02oxfrma.netops.charter.com [96.34.84.212]
  5   101    0    7.68   23.21   13.97  bbr01gdisne-bue-2.gdis.ne.charter.com [96.34.2.142]
  6   101    0   27.04   40.42   32.67  bbr01sgnwmi-bue-3.sgnw.mi.charter.com [96.34.0.53]
  7   101    0   31.50   48.91   36.53  bbr01aldlmi-bue-5.aldl.mi.charter.com [96.34.0.54]
  8   101    0   35.90   53.19   40.61  bbr01chcgil-bue-805.chcg.il.charter.com [96.34.0.139]
  9   101    0   35.73   55.51   40.74  bbr02chcgil-bue-800.chcg.il.charter.com [96.34.0.67]
 10   101    0   41.56   60.94   46.01  bbr01olvemo-bue-2.olve.mo.charter.com [96.34.0.13]
 11   101    0   58.84   70.66   63.59  bbr01dnvrco-bue-1.dnvr.co.charter.com [96.34.0.144]
 12   101    0   84.10   94.12   89.09  bbr02snjsca-bue-2.snjs.ca.charter.com [96.34.0.2]
 13   101    0   93.92  106.25   98.65  bbr01rvsdca-bue-8.rvsd.ca.charter.com [96.34.0.177]
 14   101    0   94.26  102.49   97.58  bbr02chcgil-tge-0-2-0-1.chcg.il.charter.com [96.34.3.129]
 15   101    0   95.51  118.99   98.21  la-pom247-ge-5-0-0.kornet.net [206.223.123.44]
 16   101    0  224.95  245.27  228.16  112.174.89.249 [112.174.89.249]
 17   101    0  230.61  256.48  233.93  112.174.80.5 [112.174.80.5]
 18   101  100       0       0       0   [-]
 19   101    0  233.86  266.69  236.75  112.174.23.18 [112.174.23.18]
 20   101    0  227.03  235.45  231.04  112.188.240.142 [112.188.240.142]
 21   100  100       0       0       0  www.ozarena.com [183.111.138.159]
