﻿Host Information
1,10.0.1.1,10.0.1.1
2,,-
3,096-034-083-005.biz.spectrum.com,96.34.83.5
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142
6,bbr01nwtwct-bue-4.nwtw.ct.charter.com,96.34.0.51
7,bbr01blvlil-tge-0-0-0-11.blvl.il.charter.com,96.34.0.137
8,prr01ashbva-bue-6.ashb.va.charter.com,96.34.3.89
9,ae-10.edge5.WashingtonDC12.Level3.net,4.68.62.61
10,ae-2-30.bear2.Phoenix1.Level3.net,4.69.210.161
11,LIQUID-WEB.bear2.Phoenix1.Level3.net,4.28.83.26
12,lw-dc4-core1-nexus-eth4-3.rtr.liquidweb.com,50.28.96.230
13,lw-dc4-dist3-eth4-11-1.rtr.liquidweb.com,50.28.96.241
14,www.taironainn.com,98.129.229.84
Sample Information
2020-07-08 13:32:24Z,1.18,*,8.69,9.52,10.37,16.46,20.55,21.72,24.26,N/A,81.53,81.06,81.21,80.12
2020-07-08 13:32:27Z,1.23,*,8.55,9.41,19.90,18.21,29.50,23.76,19.34,N/A,81.45,80.88,80.49,80.46
2020-07-08 13:32:29Z,1.25,*,8.91,8.79,14.78,13.99,24.61,20.71,20.01,N/A,83.25,81.39,81.88,80.95
2020-07-08 13:32:32Z,0.54,*,13.32,10.11,17.50,16.67,21.53,45.06,19.68,N/A,81.28,80.57,81.21,81.97
2020-07-08 13:32:34Z,1.30,*,9.45,9.85,14.41,21.34,24.78,19.99,24.19,N/A,81.82,81.11,80.63,79.60
2020-07-08 13:32:37Z,0.30,*,8.50,9.05,17.71,16.05,19.62,77.21,20.24,N/A,81.99,81.88,81.38,81.14
2020-07-08 13:32:37Z,0.30,*,8.50,9.05,17.71,16.05,19.62,77.21,20.24,N/A,81.99,81.88,81.38,81.14
2020-07-08 13:32:39Z,0.07,*,8.83,10.31,11.27,18.39,21.87,20.06,28.30,N/A,82.54,80.69,81.22,79.86
2020-07-08 13:32:42Z,1.19,*,7.99,9.38,11.55,19.58,23.54,19.92,31.25,N/A,81.52,80.99,80.78,80.52
2020-07-08 13:32:44Z,1.30,*,7.54,9.90,17.13,16.27,21.24,19.76,22.86,N/A,85.18,82.52,80.71,81.19
2020-07-08 13:32:47Z,0.36,*,9.57,10.37,16.44,17.24,19.74,19.60,19.06,N/A,81.08,80.95,82.39,79.31
2020-07-08 13:32:49Z,0.86,*,14.05,12.87,11.12,19.00,30.47,23.60,26.03,N/A,86.24,79.86,81.97,87.94
2020-07-08 13:32:52Z,0.29,*,9.57,9.57,13.01,21.64,24.70,20.27,19.17,N/A,82.10,80.65,82.27,81.73
2020-07-08 13:32:54Z,0.83,*,11.43,10.46,17.08,16.45,19.95,20.69,21.50,N/A,82.23,81.38,81.44,81.38
2020-07-08 13:32:57Z,0.51,*,10.16,8.99,13.70,13.17,24.50,20.08,20.92,N/A,81.57,81.09,80.01,81.78
2020-07-08 13:32:59Z,1.28,*,11.70,10.03,16.12,22.11,27.05,19.94,30.06,N/A,83.00,81.16,80.64,85.51
2020-07-08 13:33:02Z,1.54,*,8.96,9.78,10.55,16.58,21.40,19.87,19.68,N/A,81.53,81.03,81.92,81.99
