﻿Host Information
1,10.0.1.1,10.0.1.1
2,,-
3,096-034-083-005.biz.spectrum.com,96.34.83.5
4,be34.crr02oxfrma.netops.charter.com,96.34.84.212
5,bbr01gdisne-bue-2.gdis.ne.charter.com,96.34.2.142
6,bbr01sgnwmi-bue-3.sgnw.mi.charter.com,96.34.0.53
7,bbr01aldlmi-bue-5.aldl.mi.charter.com,96.34.0.54
8,bbr01chcgil-bue-805.chcg.il.charter.com,96.34.0.139
9,chi-b21-link.telia.net,62.115.14.41
10,ae-25.r08.chcgil09.us.bb.gin.ntt.net,129.250.8.61
11,ae-0.r20.chcgil09.us.bb.gin.ntt.net,129.250.2.191
12,ae-7.r23.sttlwa01.us.bb.gin.ntt.net,129.250.3.42
13,ae-16.r24.osakjp02.jp.bb.gin.ntt.net,129.250.3.61
14,ae-1.r02.osakjp02.jp.bb.gin.ntt.net,129.250.2.40
15,ae-1.a01.osakjp02.jp.bb.gin.ntt.net,129.250.3.232
16,ae-0.sinet5.osakjp02.jp.bb.gin.ntt.net,61.200.91.154
17,niigata-RM-ET-5-1-0-1152.s5.sinet.ad.jp,150.99.90.34
18,www.iuj.ac.jp,202.223.160.72
Sample Information
2020-07-08 13:31:20Z,0.95,*,9.45,8.71,14.63,28.59,40.21,38.77,43.12,41.63,37.77,82.61,184.51,174.76,172.99,179.69,186.46,*
2020-07-08 13:31:23Z,0.41,*,9.62,10.79,17.52,31.50,36.11,44.84,42.34,38.63,40.74,88.17,182.22,175.15,173.30,179.95,184.16,*
2020-07-08 13:31:25Z,0.30,*,9.19,11.73,9.82,39.99,35.99,44.41,38.65,40.74,42.19,83.67,183.04,175.24,178.50,179.18,186.66,*
2020-07-08 13:31:28Z,0.93,*,8.61,9.55,12.06,43.09,37.54,38.33,38.14,41.04,39.76,83.89,181.76,175.05,175.85,182.03,185.04,*
2020-07-08 13:31:30Z,1.10,*,8.93,10.44,9.93,31.81,35.61,44.21,38.44,40.25,38.12,81.95,183.79,174.12,173.33,180.01,185.10,*
2020-07-08 13:31:33Z,0.28,*,8.42,9.92,14.75,37.67,40.15,40.68,38.87,40.50,39.49,89.40,183.11,174.74,172.39,178.51,184.57,*
2020-07-08 13:31:35Z,1.02,*,9.34,10.12,13.32,36.63,31.49,40.21,38.06,40.17,38.37,82.53,183.55,175.51,177.13,179.35,184.79,*
2020-07-08 13:31:38Z,0.91,*,9.20,13.92,15.12,28.13,32.82,41.46,38.34,44.41,38.69,84.34,182.59,175.51,176.69,181.52,184.46,*
2020-07-08 13:31:40Z,1.52,*,9.63,9.11,16.00,32.05,35.42,43.14,38.81,39.82,41.69,83.88,182.22,175.09,173.23,179.31,184.96,*
2020-07-08 13:31:43Z,1.17,*,9.91,10.03,15.69,35.56,39.19,38.14,38.74,40.48,36.95,84.02,183.29,176.14,173.02,179.22,185.06,*
